trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.1, 'e': 0.02999999999999925}",20,7,19.42867519163228,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.019999999999999248}",20,0,30.352062789680677,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.1, 'e': 0.009999999999999247}",20,9,17.216019353496556,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,38.34296604820311,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,11,14.89858286972245,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,13,13.221647534320748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,44.950894566528866,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,6,23.192443746764084,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,9,25.325705168043488,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,32.311749089307064,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,31.96936645161,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,13,11.896599946174092,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,36.212804744324394,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
