trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.9280770353269,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.34548104991023,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.18816084330712,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.0803323718016,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.4372348071562,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.15003528386174,"{0: 18, 1: 3, 2: 3, 3: 4, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-127.32366327650374,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.917688097176,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,5.491410730852894,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
