trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.2, 'e': 0.5699999999999996}",25,0,-40.264769612000116,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
44,False,"{'a': 0.2, 'e': 0.5599999999999996}",20,12,-39.15862164002424,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.2, 'e': 0.5499999999999996}",25,3,-71.76364539871538,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 1}",1
46,False,"{'a': 0.2, 'e': 0.5399999999999996}",30,0,-16.91663306212275,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.2, 'e': 0.5299999999999996}",20,0,-75.82299665356794,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.2, 'e': 0.5199999999999996}",25,14,3.4416965807382978,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.2, 'e': 0.5099999999999996}",30,18,8.057866767330625,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.2, 'e': 0.49999999999999956}",20,0,-37.164428813741154,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
51,False,"{'a': 0.2, 'e': 0.48999999999999955}",25,8,12.564509311098426,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.2, 'e': 0.47999999999999954}",35,12,-28.645684257008252,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.46999999999999953}",30,12,24.767808981163498,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.2, 'e': 0.4599999999999995}",20,0,-76.06441935063064,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.4499999999999995}",30,15,24.41722281293149,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.4399999999999995}",20,0,-99.89681888082434,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
57,False,"{'a': 0.2, 'e': 0.4299999999999995}",25,17,-39.851941269454265,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.2, 'e': 0.4199999999999995}",20,8,-63.4789213719272,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.2, 'e': 0.4099999999999995}",25,13,-30.16594692839041,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.2, 'e': 0.39999999999999947}",20,6,-6.659196848068086,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.38999999999999946}",20,0,9.119714341440654,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.37999999999999945}",35,0,0.0802137596539989,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
63,False,"{'a': 0.2, 'e': 0.36999999999999944}",20,10,6.737851230112912,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.2, 'e': 0.35999999999999943}",20,14,9.93709080941039,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.3499999999999994}",25,5,-88.95229314357552,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
66,False,"{'a': 0.2, 'e': 0.3399999999999994}",25,11,-27.09702963672219,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.2, 'e': 0.3299999999999994}",25,0,8.726019530600091,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
68,False,"{'a': 0.2, 'e': 0.3199999999999994}",25,11,-12.886370154635923,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.3099999999999994}",25,13,-17.203330926164494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.2, 'e': 0.2999999999999994}",30,17,16.36806780513236,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.28999999999999937}",30,18,18.623252305594182,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
